Player,,College,Year,NUMBER,PICK
Myles Turner,Indiana Pacers,Texas,2015,1,11
Trey Lyles,Utah Jazz,Kentucky,2015,1,12
Devin Booker,Phoenix Suns,Kentucky,2015,1,13
Cameron Payne,Oklahoma City Thunder,Murray State,2015,1,14
Kelly Oubre Jr.,Atlanta Hawks,Kansas,2015,1,15
Terry Rozier,Boston Celtics,Louisville,2015,1,16
Rashad Vaughn,Milwaukee Bucks,Nevada-Las Vegas,2015,1,17
Sam Dekker,Houston Rockets,Wisconsin,2015,1,18
Jerian Grant,Washington Wizards,Notre Dame,2015,1,19
Delon Wright,Toronto Raptors,Utah,2015,1,20
Justin Anderson,Dallas Mavericks,Virginia,2015,1,21
Bobby Portis,Chicago Bulls,Arkansas,2015,1,22
Rondae Hollis-Jefferson,Portland Trail Blazers,Arizona,2015,1,23
Tyus Jones,Cleveland Cavaliers,Duke,2015,1,24
Jarell Martin,Memphis Grizzlies,Louisiana State,2015,1,25
Nikola Milutinov,San Antonio Spurs,KK Partizan (Serbia),2015,1,26
Larry Nance Jr.,Los Angeles Lakers,Wyoming,2015,1,27
RJ Hunter,Boston Celtics,Georgia State,2015,1,28
Chris McCullough,Brooklyn Nets,Syracuse,2015,1,29
Kevon Looney,Golden State Warriors,California-Los Angeles,2015,1,30
Cedi Osman,Minnesota Timberwolves,Anadolu Efes S.K. (Turkey),2015,2,1
Montrezl Harrell,Houston Rockets,Louisville,2015,2,2
Jordan Mickey,Boston Celtics,Louisiana State,2015,2,3
Anthony Brown,Los Angeles Lakers,Stanford,2015,2,4
Willy Hernangomez,Philadelphia 76ers,CB Sevilla (Spain),2015,2,5
Rakeem Christmas,Minnesota Timberwolves,Syracuse,2015,2,6
Richaun Holmes,Philadelphia 76ers,Bowling Green,2015,2,7
Darrun Hilliard,Detroit Pistons,Villanova,2015,2,8
Juan Pablo Vaulet,Charlotte Hornets,Bahia Basket (Argentina),2015,2,9
Josh Richardson,Miami Heat,Tennessee,2015,2,10
Pat Connaughton,Brooklyn Nets,Notre Dame,2015,2,11
Olivier Hanlan,Utah Jazz,Boston College,2015,2,12
Joe Young,Indiana Pacers,Oregon,2015,2,13
Andrew Harrison,Phoenix Suns,Kentucky,2015,2,14
Marcus Thornton,Boston Celtics,William & Mary,2015,2,15
Norman Powell,Milwaukee Bucks,California-Los Angeles,2015,2,16
Arturas Gudaitis,Philadelphia 76ers,BC Zalgiris (Lithuania),2015,2,17
Dakari Johnson,Oklahoma City Thunder,Kentucky,2015,2,18
Aaron White,Washington Wizards,Iowa,2015,2,19
Marcus Eriksson,Atlanta Hawks,FC Barcelona Basquet (Spain),2015,2,20
Tyler Harvey,Orlando Magic,Eastern Washington,2015,2,21
Satnam Singh,Dallas Mavericks,IMG Academy,2015,2,22
Sir'Dominic Pointer,Cleveland Cavaliers,St. John's (NY),2015,2,23
Daniel Diez,Utah Jazz,San Sebastian Gipuzkoa BC (Spain),2015,2,24
Cady Lalanne,San Antonio Spurs,Massachusetts,2015,2,25
Branden Dawson,New Orleans Pelicans,Michigan State,2015,2,26
Nikola Radicevic,Denver Nuggets,CB Sevilla (Spain),2015,2,27
JP Tokoto,Philadelphia 76ers,North Carolina,2015,2,28
Dimitrios Agravanis,Atlanta Hawks,Olympiacos B.C. (Greece),2015,2,29
Luka Mitrovic,Philadelphia 76ers,Red Star Belgrade (Serbia),2015,2,30
Andrew Wiggins,Cleveland Cavaliers,Kansas,2014,1,1
Jabari Parker,Milwaukee Bucks,Duke,2014,1,2
Joel Embiid,Philadelphia 76ers,Kansas,2014,1,3
Aaron Gordon,Orlando Magic,Arizona,2014,1,4
Dante Exum,Utah Jazz,Australian Institute of Sport (Australia),2014,1,5
Marcus Smart,Boston Celtics,Oklahoma State,2014,1,6
Julius Randle,Los Angeles Lakers,Kentucky,2014,1,7
Nik Stauskas,Sacramento Kings,Michigan,2014,1,8
Noah Vonleh,Charlotte Hornets,Indiana,2014,1,9
Elfrid Payton,Philadelphia 76ers,Louisiana-Lafayette,2014,1,10
Doug McDermott,Denver Nuggets,Creighton,2014,1,11
Dario Saric,Orlando Magic,KK Cibona (Croatia),2014,1,12
Zach LaVine,Minnesota Timberwolves,California-Los Angeles,2014,1,13
T.J. Warren,Phoenix Suns,North Carolina State,2014,1,14
Adreian Payne,Atlanta Hawks,Michigan State,2014,1,15
Jusuf Nurkic,Chicago Bulls,KK Cedevita (Croatia),2014,1,16
James Young,Boston Celtics,Kentucky,2014,1,17
Tyler Ennis,Phoenix Suns,Syracuse,2014,1,18
Gary Harris,Chicago Bulls,Michigan State,2014,1,19
Bruno Caboclo,Toronto Raptors,Esporte Clube Pinheiros (Brazil),2014,1,20
Mitch McGary,Oklahoma City Thunder,Michigan,2014,1,21
Jordan Adams,Memphis Grizzlies,California-Los Angeles,2014,1,22
Rodney Hood,Utah Jazz,Duke,2014,1,23
Shabazz Napier,Charlotte Hornets,Connecticut,2014,1,24
Clint Capela,Houston Rockets,Elan Chalon (France),2014,1,25
PJ Hairston,Miami Heat,Texas Legends (D-League),2014,1,26
Bogdan Bogdanovic,Phoenix Suns,KK Partizan (Serbia),2014,1,27
C.J. Wilcox,Los Angeles Clippers,Washington,2014,1,28
Josh Huestis,Oklahoma City Thunder,Stanford,2014,1,29
Kyle Anderson,San Antonio Spurs,California-Los Angeles,2014,1,30
Damien Inglis,Milwaukee Bucks,Chorale Roanne Basket (France),2014,2,1
KJ McDaniels,Philadelphia 76ers,Clemson,2014,2,2
Joe Harris,Cleveland Cavaliers,Virginia,2014,2,3
Cleanthony Early,New York Knicks,Wichita State,2014,2,4
Jarnell Stokes,Utah Jazz,Tennessee,2014,2,5
Johnny O'Bryant III,Milwaukee Bucks,Louisiana State,2014,2,6
DeAndre Daniels,Toronto Raptors,Connecticut,2014,2,7
Spencer Dinwiddie,Detroit Pistons,Colorado,2014,2,8
Jerami Grant,Philadelphia 76ers,Syracuse,2014,2,9
Glenn Robinson III,Minnesota Timberwolves,Michigan,2014,2,10
Nikola Jokic,Denver Nuggets,KK Mega Leks (Serbia),2014,2,11
Nick Johnson,Houston Rockets,Arizona,2014,2,12
Edy Tavares,Atlanta Hawks,CB Gran Canaria (Spain),2014,2,13
Markel Brown,Minnesota Timberwolves,Oklahoma State,2014,2,14
Dwight Powell,Charlotte Hornets,Stanford,2014,2,15
Jordan Clarkson,Washington Wizards,Missouri,2014,2,16
Russ Smith,Philadelphia 76ers,Louisville,2014,2,17
Lamar Patterson,Milwaukee Bucks,Pittsburgh,2014,2,18
Cameron Bairstow,Chicago Bulls,New Mexico,2014,2,19
Alec Brown,Phoenix Suns,Wisconsin-Green Bay,2014,2,20
Thanasis Antetokounmpo,New York Knicks,Delaware 87ers (D-League),2014,2,21
Vasilije Micic,Philadelphia 76ers,KK Mega Leks (Serbia),2014,2,22
Alessandro Gentile,Minnesota Timberwolves,Olimpia Milano (Italy),2014,2,23
Nemanja Dangubic,Philadelphia 76ers,KK Mega Leks (Serbia),2014,2,24
Semaj Christon,Miami Heat,Xavier,2014,2,25
Devyn Marble,Denver Nuggets,Iowa,2014,2,26
Louis Labeyrie,Indiana Pacers,Paris-Levallois Basket (France),2014,2,27
Jordan McRae,San Antonio Spurs,Tennessee,2014,2,28
Xavier Thames,Toronto Raptors,San Diego State,2014,2,29
Cory Jefferson,San Antonio Spurs,Baylor,2014,2,30
Anthony Bennett,Cleveland Cavaliers,Nevada-Las Vegas,2013,1,1
Victor Oladipo,Orlando Magic,Indiana,2013,1,2
Otto Porter Jr.,Washington Wizards,Georgetown,2013,1,3
Cody Zeller,Charlotte Bobcats,Indiana,2013,1,4
Alex Len,Phoenix Suns,Maryland,2013,1,5
Nerlens Noel,New Orleans Pelicans,Kentucky,2013,1,6
Ben McLemore,Sacramento Kings,Kansas,2013,1,7
Kentavious Caldwell-Pope,Detroit Pistons,Georgia,2013,1,8
Trey Burke,Minnesota Timberwolves,Michigan,2013,1,9
CJ McCollum,Portland Trail Blazers,Lehigh,2013,1,10
Michael Carter-Williams,Philadelphia 76ers,Syracuse,2013,1,11
Steven Adams,Oklahoma City Thunder,Pittsburgh,2013,1,12
Kelly Olynyk,Dallas Mavericks,Gonzaga,2013,1,13
Shabazz Muhammad,Utah Jazz,California-Los Angeles,2013,1,14
Giannis Antetokounmpo,Milwaukee Bucks,Basket Zaragoza 2002 (Spain),2013,1,15
Lucas Nogueira,Boston Celtics,CB Estudiantes (Spain),2013,1,16
Dennis Schroder,Atlanta Hawks,Basketball Lowen Braunschweig (Germany),2013,1,17
Shane Larkin,Atlanta Hawks,Miami (FL),2013,1,18
Sergey Karasev,Cleveland Cavaliers,B.C. Zenit Saint Petersburg (Russia),2013,1,19
Tony Snell,Chicago Bulls,New Mexico,2013,1,20
Gorgui Dieng,Utah Jazz,Louisville,2013,1,21
Mason Plumlee,Brooklyn Nets,Duke,2013,1,22
Solomon Hill,Indiana Pacers,Arizona,2013,1,23
Tim Hardaway Jr.,New York Knicks,Michigan,2013,1,24
Reggie Bullock,Los Angeles Clippers,North Carolina,2013,1,25
Andre Roberson,Minnesota Timberwolves,Colorado,2013,1,26
Rudy Gobert,Denver Nuggets,Cholet Basket (France),2013,1,27
Livio Jean-Charles,San Antonio Spurs,ASVEL Basket (France),2013,1,28
Archie Goodwin,Oklahoma City Thunder,Kentucky,2013,1,29
Nemanja Nedovic,Phoenix Suns,BC Lietuvos rytas (Lithuania),2013,1,30
Allen Crabbe,Cleveland Cavaliers,California,2013,2,1
Alex Abrines,Oklahoma City Thunder,FC Barcelona Basquet (Spain),2013,2,2
Carrick Felix,Cleveland Cavaliers,Arizona State,2013,2,3
Isaiah Canaan,Houston Rockets,Murray State,2013,2,4
Glen Rice,Philadelphia 76ers,Michigan,2013,2,5
Ray McCallum,Sacramento Kings,Detroit Mercy,2013,2,6
Tony Mitchell,Detroit Pistons,North Texas,2013,2,7
Nate Wolters,Washington Wizards,South Dakota State,2013,2,8
Jeff Withey,Portland Trail Blazers,Kansas,2013,2,9
Grant Jerrett,Portland Trail Blazers,Arizona,2013,2,10
Jamaal Franklin,Memphis Grizzlies,San Diego State,2013,2,11
Pierre Jackson,Philadelphia 76ers,Baylor,2013,2,12
Ricky Ledo,Milwaukee Bucks,Providence,2013,2,13
Mike Muscala,Dallas Mavericks,Bucknell,2013,2,14
Marko Todorovic,Portland Trail Blazers,FC Barcelona Basquet (Spain),2013,2,15
Erick Green,Utah Jazz,Virginia Tech,2013,2,16
Raul Neto,Atlanta Hawks,San Sebastian Gipuzkoa BC (Spain),2013,2,17
Ryan Kelly,Los Angeles Lakers,Duke,2013,2,18
Erik Murphy,Chicago Bulls,Florida,2013,2,19
James Ennis III,Atlanta Hawks,Long Beach State,2013,2,20
Romero Osby,Orlando Magic,Oklahoma,2013,2,21
Lorenzo Brown,Minnesota Timberwolves,North Carolina State,2013,2,22
Colton Iverson,Indiana Pacers,Colorado State,2013,2,23
Arsalan Kazemi,Washington Wizards,Oregon,2013,2,24
Joffrey Lauvergne,Memphis Grizzlies,KK Partizan (Serbia),2013,2,25
Peyton Siva,Detroit Pistons,Louisville,2013,2,26
Alex Oriakhi,Phoenix Suns,Missouri,2013,2,27
Deshaun Thomas,San Antonio Spurs,Ohio State,2013,2,28
Bojan Dubljevic,Minnesota Timberwolves,Valencia BC (Spain),2013,2,29
Janis Timma,Memphis Grizzlies,BK Ventspils (Latvia),2013,2,30
Anthony Davis,New Orleans Hornets,Kentucky,2012,1,1
Michael Kidd-Gilchrist,Charlotte Bobcats,Kentucky,2012,1,2
Bradley Beal,Washington Wizards,Florida,2012,1,3
Dion Waiters,Cleveland Cavaliers,Syracuse,2012,1,4
Thomas Robinson,Sacramento Kings,Kansas,2012,1,5
Damian Lillard,Portland Trail Blazers,Weber State,2012,1,6
Harrison Barnes,Golden State Warriors,North Carolina,2012,1,7
Terrence Ross,Toronto Raptors,Washington,2012,1,8
Andre Drummond,Detroit Pistons,Connecticut,2012,1,9
Austin Rivers,New Orleans Hornets,Duke,2012,1,10
Meyers Leonard,Portland Trail Blazers,Illinois,2012,1,11
Jeremy Lamb,Houston Rockets,Connecticut,2012,1,12
Kendall Marshall,Phoenix Suns,North Carolina,2012,1,13
John Henson,Milwaukee Bucks,North Carolina,2012,1,14
Maurice Harkless,Philadelphia 76ers,St. John's (NY),2012,1,15
Royce White,Houston Rockets,Iowa State,2012,1,16
Tyler Zeller,Dallas Mavericks,North Carolina,2012,1,17
Terrence Jones,Houston Rockets,Kentucky,2012,1,18
Andrew Nicholson,Orlando Magic,St. Bonaventure,2012,1,19
Evan Fournier,Denver Nuggets,Poitiers Basket 86 (France),2012,1,20
Jared Sullinger,Boston Celtics,Ohio State,2012,1,21
Fab Melo,Boston Celtics,Syracuse,2012,1,22
John Jenkins,Atlanta Hawks,Vanderbilt,2012,1,23
Jared Cunningham,Cleveland Cavaliers,Oregon State,2012,1,24
Tony Wroten,Memphis Grizzlies,Washington,2012,1,25
Miles Plumlee,Indiana Pacers,Duke,2012,1,26
Arnett Moultrie,Miami Heat,Mississippi State,2012,1,27
Perry Jones III,Oklahoma City Thunder,Baylor,2012,1,28
Marquis Teague,Chicago Bulls,Kentucky,2012,1,29
Festus Ezeli,Golden State Warriors,Vanderbilt,2012,1,30
Jeffery Taylor,Charlotte Bobcats,Vanderbilt,2012,2,1
Tomas Satoransky,Washington Wizards,CB Sevilla (Spain),2012,2,2
Bernard James,Cleveland Cavaliers,Florida State,2012,2,3
Jae Crowder,Cleveland Cavaliers,Marquette,2012,2,4
Draymond Green,Golden State Warriors,Michigan State,2012,2,5
Orlando Johnson,Sacramento Kings,California-Santa Barbara,2012,2,6
Quincy Acy,Toronto Raptors,Baylor,2012,2,7
Quincy Miller,Denver Nuggets,Baylor,2012,2,8
Khris Middleton,Detroit Pistons,Texas A&M,2012,2,9
Will Barton,Portland Trail Blazers,Memphis,2012,2,10
Tyshawn Taylor,Portland Trail Blazers,Kansas,2012,2,11
Doron Lamb,Milwaukee Bucks,Kentucky,2012,2,12
Mike Scott,Atlanta Hawks,Virginia,2012,2,13
Kim English,Detroit Pistons,Missouri,2012,2,14
Justin Hamilton,Philadelphia 76ers,Louisiana State,2012,2,15
Darius Miller,New Orleans Hornets,Kentucky,2012,2,16
Kevin Murphy,Utah Jazz,Tennessee Tech,2012,2,17
Kostas Papanikolaou,New York Knicks,Olympiacos B.C. (Greece),2012,2,18
Kyle O'Quinn,Orlando Magic,Norfolk State,2012,2,19
Izzet Turkyilmaz,Denver Nuggets,Banvit B.K. (Turkey),2012,2,20
Kris Joseph,Boston Celtics,Syracuse,2012,2,21
Ognjen Kuzmic,Golden State Warriors,CB Axarquia (Spain),2012,2,22
Furkan Aldemir,Los Angeles Clippers,Galatasaray S.K. (Turkey),2012,2,23
Tornike Shengelia,Philadelphia 76ers,Georgia,2012,2,24
Darius Johnson-Odom,Dallas Mavericks,Marquette,2012,2,25
Tomislav Zubcic,Toronto Raptors,KK Cibona (Croatia),2012,2,26
Ilkan Karaman,Brooklyn Nets,Pinar Karsiyaka (Turkey),2012,2,27
Robbie Hummel,Minnesota Timberwolves,Purdue,2012,2,28
Marcus Denmon,San Antonio Spurs,Missouri,2012,2,29
Robert Sacre,Los Angeles Lakers,Gonzaga,2012,2,30
Kyrie Irving,Cleveland Cavaliers,Duke,2011,1,1
Derrick Williams,Minnesota Timberwolves,Arizona,2011,1,2
Enes Freedom,Utah Jazz,Kentucky,2011,1,3
Tristan Thompson,Cleveland Cavaliers,Texas,2011,1,4
Jonas Valanciunas,Toronto Raptors,BC Lietuvos rytas (Lithuania),2011,1,5
Jan Vesely,Washington Wizards,KK Partizan (Serbia),2011,1,6
Bismack Biyombo,Sacramento Kings,Baloncesto Fuenlabrada (Spain),2011,1,7
Brandon Knight,Detroit Pistons,Kentucky,2011,1,8
Kemba Walker,Charlotte Bobcats,Connecticut,2011,1,9
Jimmer Fredette,Milwaukee Bucks,Brigham Young,2011,1,10
Klay Thompson,Golden State Warriors,Washington State,2011,1,11
Alec Burks,Utah Jazz,Colorado,2011,1,12
Markieff Morris,Phoenix Suns,Kansas,2011,1,13
Marcus Morris Sr.,Houston Rockets,Kansas,2011,1,14
Kawhi Leonard,Indiana Pacers,San Diego State,2011,1,15
Nikola Vucevic,Philadelphia 76ers,Southern California,2011,1,16
Iman Shumpert,New York Knicks,Georgia Tech,2011,1,17
Chris Singleton,Washington Wizards,Florida State,2011,1,18
Tobias Harris,Charlotte Bobcats,Tennessee,2011,1,19
Donatas Motiejunas,Minnesota Timberwolves,Universo Treviso Basket (Italy),2011,1,20
Nolan Smith,Portland Trail Blazers,Duke,2011,1,21
Kenneth Faried,Denver Nuggets,Morehead State,2011,1,22
Nikola Mirotic,Houston Rockets,Real Madrid Baloncesto (Spain),2011,1,23
Reggie Jackson,Oklahoma City Thunder,Boston College,2011,1,24
MarShon Brooks,Boston Celtics,Providence,2011,1,25
Jordan Hamilton,Dallas Mavericks,Texas,2011,1,26
JaJuan Johnson,New Jersey Nets,Purdue,2011,1,27
Norris Cole,Chicago Bulls,Cleveland State,2011,1,28
Cory Joseph,San Antonio Spurs,Texas,2011,1,29
Jimmy Butler,Chicago Bulls,Marquette,2011,1,30
Bojan Bogdanovic,Miami Heat,KK Partizan (Serbia),2011,2,1
Justin Harper,Cleveland Cavaliers,Richmond,2011,2,2
Kyle Singler,Detroit Pistons,Duke,2011,2,3
Shelvin Mack,Washington Wizards,Butler,2011,2,4
Tyler Honeycutt,Sacramento Kings,California-Los Angeles,2011,2,5
Jordan Williams,New Jersey Nets,Maryland,2011,2,6
Trey Thompkins,Los Angeles Clippers,Georgia,2011,2,7
Chandler Parsons,Houston Rockets,Florida,2011,2,8
Jeremy Tyler,Charlotte Bobcats,Tokyo Apache (Japan),2011,2,9
Jon Leuer,Milwaukee Bucks,Wisconsin,2011,2,10
Darius Morris,Los Angeles Lakers,Michigan,2011,2,11
Davis Bertans,Indiana Pacers,KK Olimpija (Slovenia),2011,2,12
Malcolm Lee,Chicago Bulls,California-Los Angeles,2011,2,13
Charles Jenkins,Golden State Warriors,Hofstra,2011,2,14
Josh Harrellson,New Orleans Hornets,Kentucky,2011,2,15
Andrew Goudelock,Los Angeles Lakers,College of Charleston,2011,2,16
Travis Leslie,Los Angeles Clippers,Georgia,2011,2,17
Keith Benson,Atlanta Hawks,Oakland,2011,2,18
Josh Selby,Memphis Grizzlies,Kansas,2011,2,19
Lavoy Allen,Philadelphia 76ers,Temple,2011,2,20
Jon Diebler,Portland Trail Blazers,Ohio State,2011,2,21
Vernon Macklin,Detroit Pistons,Florida,2011,2,22
DeAndre Liggins,Orlando Magic,Kentucky,2011,2,23
MIlan Macvan,Cleveland Cavaliers,Maccabi Tel Aviv B.C. (Israel),2011,2,24
E'Twaun Moore,Boston Celtics,Purdue,2011,2,25
Chukwudiebere Maduabum,Los Angeles Lakers,Bakersfield Jam (D-League),2011,2,26
Tanguy Ngombo,Dallas Mavericks,Al Rayyan Basketball Team (Qatar),2011,2,27
Ater Majok,Los Angeles Lakers,Gold Coast Blaze (Australia),2011,2,28
Adam Hanga,San Antonio Spurs,Alba Fehervar (Hungary),2011,2,29
Isaiah Thomas,Sacramento Kings,Washington,2011,2,30
John Wall,Washington Wizards,Kentucky,2010,1,1
Evan Turner,Philadelphia 76ers,Ohio State,2010,1,2
Derrick Favors,New Jersey Nets,Georgia Tech,2010,1,3
Wesley Johnson,Minnesota Timberwolves,Syracuse,2010,1,4
DeMarcus Cousins,Sacramento Kings,Kentucky,2010,1,5
Ekpe Udoh,Golden State Warriors,Baylor,2010,1,6
Greg Monroe,Detroit Pistons,Georgetown,2010,1,7
Al-Farouq Aminu,Los Angeles Clippers,Wake Forest,2010,1,8
Gordon Hayward,Utah Jazz,Butler,2010,1,9
Paul George,Indiana Pacers,Fresno State,2010,1,10
Cole Aldrich,New Orleans Hornets,Kansas,2010,1,11
Xavier Henry,Memphis Grizzlies,Kansas,2010,1,12
Ed Davis,Toronto Raptors,North Carolina,2010,1,13
Patrick Patterson,Houston Rockets,Kentucky,2010,1,14
Larry Sanders,Milwaukee Bucks,Virginia Commonwealth,2010,1,15
Luke Babbitt,Minnesota Timberwolves,Nevada-Reno,2010,1,16
Kevin Seraphin,Chicago Bulls,Cholet Basket (France),2010,1,17
Eric Bledsoe,Oklahoma City Thunder,Kentucky,2010,1,18
Avery Bradley,Boston Celtics,Texas,2010,1,19
James Anderson,San Antonio Spurs,Oklahoma State,2010,1,20
Craig Brackins,Oklahoma City Thunder,Iowa State,2010,1,21
Elliot Williams,Portland Trail Blazers,Memphis,2010,1,22
Trevor Booker,Minnesota Timberwolves,Clemson,2010,1,23
Damion James,Atlanta Hawks,Texas,2010,1,24
Dominique Jones,Memphis Grizzlies,South Florida,2010,1,25
Quincy Pondexter,Oklahoma City Thunder,Washington,2010,1,26
Jordan Crawford,New Jersey Nets,Xavier,2010,1,27
Greivis Vasquez,Memphis Grizzlies,Maryland,2010,1,28
Daniel Orton,Orlando Magic,Kentucky,2010,1,29
Lazar Hayward,Washington Wizards,Marquette,2010,1,30
Tibor Pleiss,New Jersey Nets,Brose Baskets (Germany),2010,2,1
Dexter Pittman,Miami Heat,Texas,2010,2,2
Hassan Whiteside,Sacramento Kings,Marshall,2010,2,3
Armon Johnson,Portland Trail Blazers,Nevada-Reno,2010,2,4
Nemanja Bjelica,Washington Wizards,KK Crvena zvezda (Serbia),2010,2,5
Terrico White,Detroit Pistons,Mississippi,2010,2,6
Darington Hobson,Milwaukee Bucks,New Mexico,2010,2,7
Andy Rautins,New York Knicks,Syracuse,2010,2,8
Landry Fields,New York Knicks,Stanford,2010,2,9
Lance Stephenson,Indiana Pacers,Cincinnati,2010,2,10
Jarvis Varnado,Miami Heat,Mississippi State,2010,2,11
Da'Sean Butler,Miami Heat,West Virginia,2010,2,12
Devin Ebanks,Los Angeles Lakers,West Virginia,2010,2,13
Jerome Jordan,Milwaukee Bucks,Tulsa,2010,2,14
Paulao Prestes,Minnesota Timberwolves,CB Murcia (Spain),2010,2,15
Gani Lawal,Phoenix Suns,Georgia Tech,2010,2,16
Tiny Gallon,Milwaukee Bucks,Oklahoma,2010,2,17
Latavious Williams,Miami Heat,Tulsa 66ers (D-League),2010,2,18
Ryan Richards,San Antonio Spurs,CB Gran Canaria (Spain),2010,2,19
Solomon Alabi,Dallas Mavericks,Florida State,2010,2,20
Magnum Rolle,Oklahoma City Thunder,Louisiana Tech,2010,2,21
Luke Harangody,Boston Celtics,Notre Dame,2010,2,22
Pape Sy,Atlanta Hawks,STB Le Havre (France),2010,2,23
Willie Warren,Los Angeles Clippers,Oklahoma,2010,2,24
Jeremy Evans,Utah Jazz,Western Kentucky,2010,2,25
Hamady Ndiaye,Minnesota Timberwolves,Rutgers,2010,2,26
Ryan Reid,Indiana Pacers,Florida State,2010,2,27
Derrick Caracter,Los Angeles Lakers,Texas-El Paso,2010,2,28
Stanley Robinson,Orlando Magic,Connecticut,2010,2,29
Dwayne Collins,Phoenix Suns,Miami (FL),2010,2,30
Blake Griffin,Los Angeles Clippers,Oklahoma,2009,1,1
Hasheem Thabeet,Memphis Grizzlies,Connecticut,2009,1,2
James Harden,Oklahoma City Thunder,Arizona State,2009,1,3
Tyreke Evans,Sacramento Kings,Memphis,2009,1,4
Ricky Rubio,Minnesota Timberwolves,Joventut Badalona (Spain),2009,1,5
Jonny Flynn,Minnesota Timberwolves,Syracuse,2009,1,6
Stephen Curry,Golden State Warriors,Davidson,2009,1,7
Jordan Hill,New York Knicks,Arizona,2009,1,8
DeMar DeRozan,Toronto Raptors,Southern California,2009,1,9
Brandon Jennings,Milwaukee Bucks,Pallacanestro Virtus Roma (Italy),2009,1,10
Terrence Williams,New Jersey Nets,Louisville,2009,1,11
Gerald Henderson,Charlotte Bobcats,Duke,2009,1,12
Tyler Hansbrough,Indiana Pacers,North Carolina,2009,1,13
Earl Clark,Phoenix Suns,Louisville,2009,1,14
Austin Daye,Detroit Pistons,Gonzaga,2009,1,15
James Johnson,Chicago Bulls,Wake Forest,2009,1,16
Jrue Holiday,Philadelphia 76ers,California-Los Angeles,2009,1,17
Ty Lawson,Minnesota Timberwolves,North Carolina,2009,1,18
Jeff Teague,Atlanta Hawks,Wake Forest,2009,1,19
Eric Maynor,Utah Jazz,Virginia Commonwealth,2009,1,20
Darren Collison,New Orleans Hornets,California-Los Angeles,2009,1,21
Victor Claver,Portland Trail Blazers,Valencia BC (Spain),2009,1,22
Omri Casspi,Sacramento Kings,Maccabi Tel Aviv B.C. (Israel),2009,1,23
Byron Mullens,Dallas Mavericks,Ohio State,2009,1,24
Rodrigue Beaubois,Oklahoma City Thunder,Cholet Basket (France),2009,1,25
Taj Gibson,Chicago Bulls,Southern California,2009,1,26
DeMarre Carroll,Memphis Grizzlies,Missouri,2009,1,27
Wayne Ellington,Minnesota Timberwolves,North Carolina,2009,1,28
Toney Douglas,Los Angeles Lakers,Florida State,2009,1,29
Christian Eyenga,Cleveland Cavaliers,CB Prat (Spain),2009,1,30
Jeff Ayres,Sacramento Kings,Arizona State,2009,2,1
Jermaine Taylor,Washington Wizards,Central Florida,2009,2,2
Dante Cunningham,Portland Trail Blazers,Villanova,2009,2,3
Sergio Llull,Denver Nuggets,Real Madrid Baloncesto (Spain),2009,2,4
DaJuan Summers,Detroit Pistons,Georgetown,2009,2,5
Sam Young,Memphis Grizzlies,Pittsburgh,2009,2,6
DeJuan Blair,San Antonio Spurs,Pittsburgh,2009,2,7
Jon Brockman,Portland Trail Blazers,Washington,2009,2,8
Jonas Jerebko,Detroit Pistons,Pallacanestro Biella (Italy),2009,2,9
Derrick Brown,Charlotte Bobcats,Xavier,2009,2,10
Jodie Meeks,Milwaukee Bucks,Kentucky,2009,2,11
Patrick Beverley,Los Angeles Lakers,BC Dnipro (Ukraine),2009,2,12
Marcus Thornton,Miami Heat,Louisiana State,2009,2,13
Chase Budinger,Detroit Pistons,Arizona,2009,2,14
Nick Calathes,Minnesota Timberwolves,Florida,2009,2,15
Danny Green,Cleveland Cavaliers,North Carolina,2009,2,16
Henk Norel,Minnesota Timberwolves,Joventut Badalona (Spain),2009,2,17
Taylor Griffin,Phoenix Suns,Oklahoma,2009,2,18
Sergiy Gladyr,Atlanta Hawks,MBC Mykolaiv (Ukraine),2009,2,19
Goran Suton,Utah Jazz,Michigan State,2009,2,20
Jack McClinton,San Antonio Spurs,Miami (FL),2009,2,21
AJ Price,Indiana Pacers,Connecticut,2009,2,22
Nando De Colo,San Antonio Spurs,Cholet Basket (France),2009,2,23
Robert Vaden,Charlotte Bobcats,Alabama-Birmingham,2009,2,24
Patty Mills,Portland Trail Blazers,St. Mary's (CA),2009,2,25
Ahmad Nivins,Dallas Mavericks,Saint Joseph's,2009,2,26
Emir Preldzic,Phoenix Suns,Fenerbahce S.K. (Turkey),2009,2,27
Lester Hudson,Boston Celtics,Tennessee-Martin,2009,2,28
Chinemelu Elonu,Los Angeles Lakers,Texas A&M,2009,2,29
Robert Dozier,Miami Heat,Memphis,2009,2,30
Derrick Rose,Chicago Bulls,Memphis,2008,1,1
Michael Beasley,Miami Heat,Kansas State,2008,1,2
O.J. Mayo,Minnesota Timberwolves,Southern California,2008,1,3
Russell Westbrook,Oklahoma City Thunder,California-Los Angeles,2008,1,4
Kevin Love,Memphis Grizzlies,California-Los Angeles,2008,1,5
Danilo Gallinari,New York Knicks,Olimpia Milano (Italy),2008,1,6
Eric Gordon,Los Angeles Clippers,Indiana,2008,1,7
Joe Alexander,Milwaukee Bucks,West Virginia,2008,1,8
D.J. Augustin,Charlotte Bobcats,Texas,2008,1,9
Brook Lopez,New Jersey Nets,Stanford,2008,1,10
Jerryd Bayless,Indiana Pacers,Arizona,2008,1,11
